Nome do arquivo: microdados2021_arq1 | Informações: Edição, código de curso e caracterização do curso. | Variáveis: NU_ANO, CO_CURSO, CO_IES, CO_CATEGAD, CO_ORGACAD, CO_GRUPO, CO_MODALIDADE, CO_MUNIC_CURSO, CO_UF_CURSO, CO_REGIAO_CURSO
Nome do arquivo: microdados2021_arq2 | Informações: Edição, código de curso e informações acadêmicas dos estudantes | Variáveis: NU_ANO, CO_CURSO, ANO_FIM_EM, ANO_IN_GRAD, CO_TURNO_GRADUACAO 
Nome do arquivo: microdados2021_arq3 | Informações: Edição, código de curso e nº de itens válidos por seção da prova, vetores, tipos de presença, tipos de situação das questões da parte discursiva, notas Formação Geral e Componente Específico, respostas do Questionário de Percepção de Prova | Variáveis: NU_ANO, CO_CURSO, NU_ITEM_OFG, NU_ITEM_OFG_Z, NU_ITEM_OFG_X, NU_ITEM_OFG_N, NU_ITEM_OCE, NU_ITEM_OCE_Z, NU_ITEM_OCE_X, NU_ITEM_OCE_N, DS_VT_GAB_OFG_FIN, DS_VT_GAB_OCE_FIN, DS_VT_ESC_OFG, DS_VT_ACE_OFG, DS_VT_ESC_OCE, DS_VT_ACE_OCE, TP_PRES, TP_PR_GER, TP_PR_OB_FG, TP_PR_DI_FG, TP_PR_OB_CE, TP_PR_DI_CE, TP_SFG_D1, TP_SFG_D2, TP_SCE_D1, TP_SCE_D2, TP_SCE_D3, NT_GER ,NT_FG, NT_OBJ_FG, NT_DIS_FG, NT_FG_D1, NT_FG_D1_PT, NT_FG_D1_CT, NT_FG_D2, NT_FG_D2_PT, NT_FG_D2_CT, NT_CE, NT_OBJ_CE, NT_DIS_CE, NT_CE_D1, NT_CE_D2, NT_CE_D3, CO_RS_I1, CO_RS_I2, CO_RS_I3, CO_RS_I4, CO_RS_I5, CO_RS_I6, CO_RS_I7, CO_RS_I8, CO_RS_I9
Nome do arquivo: microdados2021_arq4 | Informações: Edição, código de curso e avaliação dos estudantes sobre seu processo formativo (Organização Didático Pedagógica, Infraestrutura e Oportunidades de ampliação da formação acadêmica e profissional) | Variáveis: NU_ANO, CO_CURSO, QE_I27, QE_I28, QE_I29, QE_I30, QE_I31, QE_I32, QE_I33, QE_I34, QE_I35, QE_I36, QE_I37, QE_I38, QE_I39, QE_I40, QE_I41, QE_I42, QE_I43, QE_I44, QE_I45, QE_I46, QE_I47, QE_I48, QE_I49, QE_I50, QE_I51, QE_I52, QE_I53, QE_I54, QE_I55, QE_I56, QE_I57, QE_I58, QE_I59, QE_I60, QE_I61, QE_I62, QE_I63, QE_I64, QE_I65, QE_I66, QE_I67, QE_I68
Nome do arquivo: microdados2021_arq5 | Informações: Edição, código de curso e sexo | Variáveis: NU_ANO, CO_CURSO, TP_SEXO
Nome do arquivo: microdados2021_arq6 | Informações: Edição, código de curso e idade do inscrito no dia da prova | Variáveis: NU_ANO, CO_CURSO, NU_IDADE
Nome do arquivo: microdados2021_arq7 | Informações: Edição, código de curso e QE1: Qual o seu estado civil? | Variáveis: NU_ANO, CO_CURSO, QE_I01
Nome do arquivo: microdados2021_arq8 | Informações: Edição, código de curso e QE2: Qual é a sua cor ou raça? | Variáveis: NU_ANO, CO_CURSO, QE_I02
Nome do arquivo: microdados2021_arq9 | Informações: Edição, código de curso e QE3: Qual a sua nacionalidade? | Variáveis: NU_ANO, CO_CURSO, QE_I03
Nome do arquivo: microdados2021_arq10 | Informações: Edição, código de curso e QE4: Até que etapa de escolarização seu pai concluiu? | Variáveis: NU_ANO, CO_CURSO, QE_I04
Nome do arquivo: microdados2021_arq11 | Informações: Edição, código de curso e QE5: Até que etapa de escolarização sua mãe concluiu? | Variáveis: NU_ANO, CO_CURSO, QE_I05
Nome do arquivo: microdados2021_arq12 | Informações: Edição, código de curso e QE6: Onde e com quem você mora atualmente? | Variáveis: NU_ANO, CO_CURSO, QE_I06
